userID,agent_utterance,dialogue_act
F02_021, ダイアルはバレル同軸式のドラムタイプで、操作性も良いそうです！いいですね,io
F02_022, ご存知でしたか？,qy
F02_023, そうですか。それは残念です・・,oa
F02_024, これから「食べ物」について話しましょう！,op
F02_025, ご飯系か、お菓子やスイーツではどちらが好きですか？,qw
F02_026, 食べるのか，見たり作ったりするののどちらが好きなんですか？,qw
F02_027, 食べるのが好きなんですね。おすすめの美味しいものはありますか？,qy
F02_028, どういったところが好きなんですか？,qw
F02_029, それは最近食べられたんですか？,qy
F02_030, いいですね，私も食べてみたいです！,pa
F02_031, 今現在，「ダフィン」が流行っているようですよ．ご存知ですか？,qy
F02_032, ドーナツとマフィンのハイブリッドスイーツで，ドーナツで作られたマフィンのようですよ？,io
F02_033, サクサクとした表面で，中はふんわり食感のようです．美味しそうですね！,io
F02_034, ダフィンを食べたことはありますか？,qy
F02_035, そうなんですか，羨ましいです．おいしかったですか？,qy
F02_036, いいですね，私も機会があれば食べてみたいです！,pa
F02_037, これから「鉄道」について話しましょう,op
F02_038, 電車は好きですか？,qy
F02_039, 電車に乗るのがすきなんですか？それとも見るのが好きなんですか？,qw
F02_040, そうなんですか。どういったところが好きなんですか？,qw
F02_041, どういったときに電車を利用するんですか？,qw
F02_042, なるほど。それは興味がありますね。私も一度、見てみようと思います！,pa
F02_043, 臨時寝台特別急行列車であるトワイライトエクスプレスが運行終了したそうですね．ご存知でしたか？,qy
F02_044, トワイライトエクスプレスは、1989年7月21日に運転を開始し、平均所要時間は、下りだと約22時間だそうです！長いですね,io
F02_045, 今年の春からは、トワイライトエクスプレスみずかぜとして、トワイライトエクスプレスの名称は、受け継がれるそうです！,io
F02_046, ご存知でしたか？,qy
F02_047, のってみたいですか？,qy
F02_048, そうなんですか。一度、乗ってみたいものですね！,pa
F02_049, これから「音楽」について話しましょう！,op
F02_050, 最近音楽は聞きましたか？,qy
F02_051, 聞くとしたら、邦楽，洋楽，クラシック，それ以外のどれですか？,qw
F02_052, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,qy
F02_053, その歌手のどういうところが好きなんですか？,qw
F02_054, その曲のどういうところが好きなんですか？,qw
F02_055, なんていうものなんですか？,qw
F02_056, なんていうものなんですか？,qw
F02_057, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,pa
F02_058, 最近では，「いきものがかり」の活動休止が話題になっているようです．ご存知でしたか？,qy
F02_059, 「放牧宣言」という名目で活動休止を1月5日に発表したようですね．,io
F02_060, 「いきものがかり」で好きな曲はありますか？,qy
F02_061, その曲は何故好きなんですか？,qw
F02_062, 活動休止というのは悲しいものですね．活動再開を待ちたいものですね．,oa
F02_063, これから「歌舞伎」について話しましょう！,op
F02_064, 歌舞伎を見に行ったことはありますか？,qy
F02_065, テレビなどでも見たことはないですか？,qy
F02_066, どういった時に見られたんですか？,qw
F02_067, どんな公演だったんですか？,qw
F02_068, そうですか，それは残念です・・,oa
F02_069, 最近では，歌舞伎での「ワンピースツー」の公演が行われる予定のようです．ご存知でしたか？,qy
F02_070, 人気漫画「ワンピース」をテーマにした作品で，昨年大ヒットした歌舞伎が帰ってくるようです．,io
F02_071, ドラマへの出演などでも知られる市川猿之助さんが主演されているようです．いいですね！,io
F02_072, 市川猿之助さんはご存知ですか？,qy
F02_073, 「ワンピース」の歌舞伎をご覧になったことはありますか？,qy
F02_074, この公演をみに行こうと思いますか？,qy
F02_075, そうですか．では他の公演を調べておきますね・・,oa
F02_076, これで対話を終了します．ご協力ありがとうございました・・,oa
F03_001, これから「写真」について話しましょう！,op
F03_002, 写真を撮りに行ったり見たりすることはありますか？,qy
F03_003, 写真はよく撮りに行くんですか？,qy
F03_004, どんな写真が好きなんですか？,qw
F03_005, 写真はどういったところに撮りに行くんですか？,qw
F03_006, 今撮りに行きたいと思っているところってありますか？,qy
F03_007, それはどういったところなんですか？,qw
F03_008, なるほど、それは私も行ってみたいです！,pa
F03_009, 京都で写真を撮る際に人気の場所として，清水寺や金閣寺が人気のようですよ！,io
F03_010, 清水寺や金閣寺には行ったことはありますか？,qy
F03_011, その時写真は撮られたんですか？,qy
F03_012, いいですね，また行ってみてはいかがですか？,su
F03_013, これから「アニメ・漫画」について話しましょう！,op
F03_014, 最近アニメや漫画をよく見ますか？,qy
F03_015, どちらかといえば、アニメか漫画のどちらを見るんですか？,qw
F03_016, 漫画ですか。おすすめの漫画ってありますか？,qy
F03_017, それは一体どういった内容なんですか？,qw
F03_018, どういったところが好きなんですか？,qw
F03_019, 私も興味が出てきました。私も今度読んでみたいと思います！,pa
F03_020, 2017年には「ざわざわ森のがんこちゃん」がアニメ化されるようですよ，ご存知ですか？,qy
F03_021, 「ガンガンがんこちゃん」というタイトルで1月23日から放送されるようです！,io
F03_022, 人類が滅亡した地球の未来を描いた「ざわざわ森のがんこちゃん」の20周年を記念して制作されるそうです．,io
F03_023, アニメ化することはご存知でしたか？,qy
F03_024, 「ざわざわ森のがんこちゃん」を知っていますか？,qy
F03_025, がんこちゃんのアニメを見ようと思いますか？,qy
F03_026, いいですね，私も見てみたいです！,pa
F03_027, これから「音楽」について話しましょう！,op
F03_028, 最近音楽は聞きましたか？,qy
F03_029, 聞くとしたら、邦楽，洋楽，クラシック，それ以外のどれですか？,qw
F03_030, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,qy
F03_031, その歌手のどういうところが好きなんですか？,qw
F03_032, おすすめの曲はありますか？,qy
F03_033, その曲のどういうところが好きなんですか？,qw
F03_034, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,pa
F03_035, 最近では，「いきものがかり」の活動休止が話題になっているようです．ご存知でしたか？,qy
F03_036, 「放牧宣言」という名目で活動休止を1月5日に発表したようですね．,io
F03_037, 「いきものがかり」で好きな曲はありますか？,qy
F03_038, その曲は何故好きなんですか？,qw
F03_039, 活動休止というのは悲しいものですね．活動再開を待ちたいものですね．,oa
F03_040, これから「旅行」について話しましょう！,op
F03_041, 最近旅行には行きましたか？,qy
F03_042, 旅行にはよく行くんですか？,qy
F03_043, 今まで行った中でおすすめの場所はありますか？,qy
F03_044, その旅行ではなにが一番楽しかったんですか？,qw
F03_045, なるほど、それは楽しそうですね！私も行ってみたいです。,pa
F03_046, 最近では，ユニバーサル・スタジオ・ジャパンが話題になっているようです．ご存知でしたか？,qy
F03_047, 1月13日からはコナン，ゴジラ，モンスターハンター，エヴァンゲリオンなどを題材にしたユニバーサルクールジャパンが開催されるようです．,io
F03_048, また，4月21日には世界最大のミニオンエリアがグランドオープンするようです．楽しみですね！,io
F03_049, ユニバーサルスタジオジャパンに行ったことはありますか？,qy
F03_050, おすすめのアトラクションはありますか？,qy
F03_051, ユニバーサル・スタジオ・ジャパンに行く予定はありますか？,qy
F03_052, そうなんですか，楽しそうなので行ってみたいものですね！,oa
F03_053, これから「スポーツ」について話しましょう！,op
F03_054, 最近スポーツはしましたか？,qy
F03_055, スポーツはよくするんですか？,qy
F03_056, 好きなスポーツはなんですか？,qw
F03_057, そのスポーツはするほうが好きですか？それとも見るほうが好きですか？,qw
F03_058, するのが好きなんですね．最近はどこでしたんですか？,qw
F03_059, なるほど、面白そうですね，機会があればわたしもやってみたいです！,pa
F03_060, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,qy
F03_061, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるので行ってみたいものですね！,io
F03_062, オリンピックは今までに見たことはありますか？,qy
F03_063, 日本で開催されるオリンピックを、見に行く予定はありますか？,qy
F03_064, そうですか。テレビでの観戦はなされるんですか？,qy
F03_065, そうですね、私も行けたら行きたいです！,pa
F03_066, これから「銃」について話しましょう,op
F03_067, 銃を見たことはありますか？,qy
F03_068, 銃か，射撃や射的ならどちらが好きなのですか？,qw
F03_069, 射的のどういったところが好きなのですか？,qw
F03_070, どういったところでやったことがあるんですか？,qw
F03_071, そうなんですか。それはおもしろそうですね。私も一度やってみたいです。,pa
F03_072, とあるモデルガンのランキングによると、ライフル・SMG部門で一番人気のあるものは、東京マルイのHK417、アーリーマリアントだそうです。ご存知でしたか？,qy
F03_073, HK417は、イギリス、オーストラリア、フランスなどの、数カ国の軍隊や法執行部隊で使用されているようですね？,io
F03_074, ダイアルはバレル同軸式のドラムタイプで、操作性も良いそうです！いいですね,io
F03_075, ご存知でしたか？,qy
F03_076, 見たことはありますか？,qy
F03_077, バレル同軸式というのはとてもかっこいいですね，一度見てみたいですね！,pa
F03_078, これで対話を終了します．ご協力ありがとうございました・・,oa
F04_001, これから「食べ物」について話しましょう！,op
F04_002, ご飯系か、お菓子やスイーツではどちらが好きですか？,qw
F04_003, 食べるのか，見たり作ったりするののどちらが好きなんですか？,qw
F04_004, 食べるのか，見たり作ったりするののどちらが好きなんですか？,qw
F04_005, 食べるのが好きなんですね。おすすめの美味しいものはありますか？,qy
F04_006, どういったところが好きなんですか？,qw
F04_007, それは最近食べられたんですか？,qy
F04_008, いいですね，私も食べてみたいです！,pa
F04_009, 今現在，「だふぃん」が流行っているようですよ．ご存知ですか？,qy
F04_010, 今現在，「だふぃん」が流行っているようですよ．ご存知ですか？,qy
F04_011, 「だふぃん」です,oa
F04_012, ドーナツとまふぃんのハイブリッドスイーツで，ドーナツで作られたまふぃんのようですよ？,io
F04_013, サクサクとした表面で，中はふんわり食感のようです．美味しそうですね！,io
F04_014, だふぃんを食べたことはありますか？,qy
F04_015, 食べてみたいですか？,qy
F04_016, 日本に上陸したばかりみたいです。まだまだ見かけることは少ないのかもしれませんね？,io
F04_017, これから「ファッション」について話しましょう,op
F04_018, ファッションに興味はありますか？,qy
F04_019, ファッション雑誌を読むのが好きなんですか？,qy
F04_020, では，服を見るのは好きですか？,qy
F04_021, どんな服が好きなんですか？,qw
F04_022, 好きなブランドはありますか？,qy
F04_023, そのブランドのどんなところが好きなんですか？,qw
F04_024, おすすめのアイテムはありますか？,qy
F04_025, いいですね，私も着てみたいです！,pa
F04_026, 2017年の春夏トレンドカラーはアビスブルーのようです．ご存知ですか？,qy
F04_027, アビスブルーとは，深海のようなディープブルーのことのようです．,io
F04_028, また，プリントや刺繍で表現されたボタニカルワールドやアニマルモチーフが人気のようですよ．,io
F04_029, これらの情報をご存知でしたか？,qy
F04_030, どれか持っているものはありましたか？,qy
F04_031, すみません。なにか言いかけましたか？,qy
F04_032, そうなんですか，流行りのものって身につけてみたいですよね！,oa
F04_033, これから「スポーツ」について話しましょう！,op
F04_034, 最近スポーツはしましたか？,qy
F04_035, スポーツはよくするんですか？,qy
F04_036, 好きなスポーツはなんですか？,qw
F04_037, そのスポーツはするほうが好きですか？それとも見るほうが好きですか？,qw
F04_038, するのが好きなんですね．最近はどこでしたんですか？,qw
F04_039, そのスポーツはどういったところが面白いんですか？,qw
F04_040, なるほど、面白そうですね，機会があればわたしもやってみたいです！,pa
F04_041, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,qy
F04_042, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるので行ってみたいものですね！,io
F04_043, オリンピックは今までに見たことはありますか？,qy
F04_044, 日本で開催されるオリンピックを、見に行く予定はありますか？,qy
F04_045, そうですか。テレビでの観戦はなされるんですか？,qy
F04_046, いいですね。私もテレビ観戦してみたいです！,pa
F04_047, これから「銃」について話しましょう,op
F04_048, 銃を見たことはありますか？,qy
F04_049, 銃か，射撃や射的ならどちらが好きなのですか？,qw
F04_050, 射撃や射的のどういったところが好きなのですか？,qw
F04_051, どういったところでやったことがあるんですか？,qw
F04_052, またの機会があればやってみたいですか？,qy
F04_053, なるほど、私も機会があれば一度やってみたいです。,pa
F04_054, とあるモデルガンのランキングによると、ライフル・SMG部門で一番人気のあるものは、東京マルイのHK417、アーリーマリアントだそうです。ご存知でしたか？,qy
F04_055, HK417は、イギリス、オーストラリア、フランスなどの、数カ国の軍隊や法執行部隊で使用されているようですね？,io
F04_056, ダイアルはバレル同軸式のドラムタイプで、操作性も良いそうです！いいですね,io
F04_057, ご存知でしたか？,qy
F04_058, 見たことはありますか？,qy
F04_059, バレル同軸式というのはとてもかっこいいですね，一度見てみたいですね！,pa
F04_060, これから「旅行」について話しましょう！,op
F04_061, 最近旅行には行きましたか？,qy
F04_062, 旅行にはよく行くんですか？,qy
F04_063, 旅行はどこにいったことがあるんですか？,qw
F04_064, 今まで行った中でおすすめの場所はありますか？,qy
F04_065, その旅行ではなにが一番楽しかったんですか？,qw
F04_066, なるほど、それは楽しそうですね！私も行ってみたいです。,pa
F04_067, 最近では，ユニバーサルスタジオジャパンが話題になっているようです．ご存知でしたか？,qy
F04_068, 1月13日からは，コナン，ゴジラ，モンスターハンター，エヴァンゲリオンなどを題材にしたユニバーサルクールジャパンが開催されるようです．,io
F04_069, また，4月21日には世界最大のミニオンエリアがグランドオープンするようです．楽しみですね！,io
F04_070, ユニバーサルスタジオジャパンに行ったことはありますか？,qy
F04_071, いつ行かれたんですか？,qw
F04_072, おすすめのアトラクションはありますか？,qy
F04_073, ユニバーサルスタジオジャパンに行く予定はありますか？,qy
F04_074, そうなんですか，私も行ってみたいです！,pa
F04_075, これから「鉄道」について話しましょう,op
F04_076, 電車は好きですか？,qy
F04_077, 電車に乗るのがすきなんですか？それとも見るのが好きなんですか？,qw
F04_078, そうなんですか。どういったところが好きなんですか？,qw
F04_079, では、電車はよく利用しますか？,qy
F04_080, そうですか。それは残念です・・,oa
F04_081, 臨時寝台特別急行列車であるトワイライトエクスプレスが運行終了したそうですね．ご存知でしたか？,qy
F04_082, トワイライトエクスプレスは、1989年7月21日に運転を開始し、平均所要時間は、下りだと約22時間だそうです！長いですね,io
F04_083, 今年の春からは、トワイライトエクスプレスみずかぜとして、トワイライトエクスプレスの名称は、受け継がれるそうです！,io
F04_084, ご存知でしたか？,qy
F04_085, のってみたいですか？,qy
F04_086, そうなんですか。それは勉強不足でした・・,oa
F04_087, これで対話を終了します．ご協力ありがとうございました・・,oa
F05_001, これから「アニメ・漫画」について話しましょう！,op
F05_002, 最近アニメや漫画をよく見ますか？,qy
F05_003, どちらかといえば、アニメか漫画のどちらを見るんですか？,qw
F05_004, アニメですか。おすすめのアニメってありますか？,qy
F05_005, それは一体どういった内容なんですか？,qw
F05_006, どういったところが好きなんですか？,qw
F05_007, 私も興味が出てきました。私も今度見てみたいと思います！,pa
F05_008, 2017年には「ざわざわ森のがんこちゃん」がアニメ化されるようですよ，ご存知ですか？,qy
F05_009, 「ガンガンがんこちゃん」というタイトルで1月23日から放送されるようです！,io
F05_010, 人類が滅亡した地球の未来を描いた「ざわざわ森のがんこちゃん」の20周年を記念して制作されるそうです．,io
F05_011, 「ざわざわ森のがんこちゃん」を知っていますか？,qy
F05_012, がんこちゃんのアニメを見ようと思いますか？,qy
F05_013, いいですね，私も見てみたいです！,pa
F05_014, これから「芸術作品」について話しましょう,op
F05_015, 最近芸術作品に触れる機会はありましたか？,qy
F05_016, 好きな作品などはありますか？,qy
F05_017, 美術館などには行かれることはありますか？,qy
F05_018, なぜ行かれたんですか？,qw
F05_019, その時に印象に残ったものはありましたか？,qy
F05_020, どういったところがおすすめなんですか？,qw
F05_021, そうですか，もう一度行ってみても面白いかもしれませんね！,su
F05_022, 最近では，ピカソの作品「アルジェの女たち」が約215億円で落札されたことが話題になっているようです．ご存じですか？,qy
F05_023, 「アルジェの女たち」はパブロ・ピカソの油彩画の作品だそうです．,io
F05_024, 215億円での落札というのは美術品の競売額としては史上最高額だそうです，すごいですね！,io
F05_025, ピカソの作品を見たことはありますか？,qy
F05_026, ピカソの作品は好きですか？,qy
F05_027, いいですね，羨ましいです！,pa
F05_028, これから「音楽」について話しましょう！,op
F05_029, 最近音楽は聞きましたか？,qy
F05_030, 聞くとしたら、邦楽，洋楽，クラシック，それ以外のどれですか？,qw
F05_031, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,qy
F05_032, その歌手のどういうところが好きなんですか？,qw
F05_033, おすすめの曲はありますか？,qy
F05_034, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,pa
F05_035, 最近では，「いきものがかり」の活動休止が話題になっているようです．ご存知でしたか？,qy
F05_036, 「放牧宣言」という名目で活動休止を1月5日に発表したようですね．,io
F05_037, 「いきものがかり」で好きな曲はありますか？,qy
F05_038, その曲は何故好きなんですか？,qw
F05_039, 活動休止というのは悲しいものですね．活動再開を待ちたいものですね．,oa
F05_040, これから「旅行」について話しましょう！,op
F05_041, 最近旅行には行きましたか？,qy
F05_042, 旅行にはよく行くんですか？,qy
F05_043, 旅行はどこにいったことがあるんですか？,qw
F05_044, 今まで行った中でおすすめの場所はありますか？,qy
F05_045, その旅行ではなにが一番楽しかったんですか？,qw
F05_046, なるほど、それは楽しそうですね！私も行ってみたいです。,pa
F05_047, 最近では，ユニバーサルスタジオジャパンが話題になっているようです．ご存知でしたか？,qy
F05_048, 1月13日からは，コナン，ゴジラ，モンスターハンター，エヴァンゲリオンなどを題材にしたユニバーサルクールジャパンが開催されるようです．,io
F05_049, また，4月21日には世界最大のミニオンエリアがグランドオープンするようです．楽しみですね！,io
F05_050, ユニバーサルスタジオジャパンに行ったことはありますか？,qy
F05_051, おすすめのアトラクションはありますか？,qy
F05_052, ユニバーサルスタジオジャパンに行く予定はありますか？,qy
F05_053, そうなんですか，楽しそうなので行ってみたいものですね！,oa
F05_054, これから「銃」について話しましょう,op
F05_055, 銃を見たことはありますか？,qy
F05_056, 銃か，射撃や射的ならどちらが好きなのですか？,qw
F05_057, 射撃や射的のどういったところが好きなのですか？,qw
F05_058, そうですか，それは残念です．,oa
F05_059, とあるモデルガンのランキングによると、ライフル・SMG部門で一番人気のあるものは、東京マルイのHK417、アーリーマリアントだそうです。ご存知でしたか？,qy
F05_060, HK417は、イギリス、オーストラリア、フランスなどの、数カ国の軍隊や法執行部隊で使用されているようですね？,io
F05_061, ダイアルはバレル同軸式のドラムタイプで、操作性も良いそうです！いいですね,io
F05_062, ご存知でしたか？,qy
F05_063, 見たことはありますか？,qy
F05_064, バレル同軸式というのはとてもかっこいいですね，一度見てみたいですね！,pa
F05_065, これから「歌舞伎」について話しましょう！,op
F05_066, 歌舞伎を見に行ったことはありますか？,qy
F05_067, 歌舞伎はよく見に行かれますか？,qy
F05_068, テレビなどでも見たことはないですか？,qy
F05_069, では，歌舞伎界で活躍されている方々を見たことはありますか？,qy
F05_070, どういった時に見られたんですか？,qw
F05_071, いいですね，私も見てみたいです！,pa
F05_072, 最近では，歌舞伎での「ワンピースツー」の公演が行われる予定のようです．ご存知でしたか？,qy
F05_073, 人気漫画「ワンピース」をテーマにした作品で，昨年大ヒットした歌舞伎が帰ってくるようです．,io
F05_074, ドラマへの出演などでも知られる市川猿之助さんが主演されているようです．いいですね！,io
F05_075, 市川猿之助さんはご存知ですか？,qy
F05_076, 「ワンピース」の歌舞伎をご覧になったことはありますか？,qy
F05_077, この公演をみに行こうと思いますか？,qy
F05_078, そうですか．では他の公演を調べておきますね・・,oa
F05_079, これで対話を終了します．ご協力ありがとうございました・・,oa
F2006_001, これから「ドラマ」の話をしましょう！,op
F2006_002, 最近ドラマは見ましたか？,qy
F2006_003, ドラマはよく見る方ですか？,qy
F2006_004, よく見るんですか！いいですね。今期おすすめのドラマはありますか,qy
F2006_005, そのドラマはどんな内容なんですか？,qw
F2006_006, そのドラマのどういったところが好きなんですか？,qw
F2006_007, なるほど、それは面白そうですね。私も、一度見てみたいです！,pa
F2006_008, 放送予定のドラマでは「アノネ」というドラマが注目されているようです．ご存知ですか？,qy
F2006_009, 主演は、映画「ちはやふる」でも活躍された，広瀬すずさんのようです．,io
F2006_010, ドラマ「アノネ」は、生きることの意味，生きるうえで大切なものは何か，を問いかけ，真実の人間の愛を見つける物語のようです．,io
F2006_011, 2018年の1月から放送されるようですよ？,io
F2006_012, ドラマ「アノネ」を知っていますか？,qy
F2006_013, 見るつもりはありますか？,qy
F2006_014, そうなんですか！私も見てみたいものです．,pa
F2006_015, これから「ゲーム」について話しましょう,op
F2006_016, 最近ゲームはしますか？,qy
F2006_017, ゲームは良くする方なんですか？,qy
F2006_018, 携帯ゲームかテレビゲームならどちらをしますか？,qw
F2006_019, いつもはどんなジャンルのゲームをするんですか？,qw
F2006_020, 最近注目されているゲームでは「モンスターハンターワールド」というものがあるそうですよ？,io
F2006_021, プレイステーションフォーで遊ぶことができるゲームで，狩りをする人気ゲームの最新作だそうです！,io
F2006_022, そうなんですか，それは残念です．,oa
F2006_023, 「モンスターハンター」をやったことがありますか？,qy
F2006_024, 2018年1月発売予定のようですよ？,io
F2006_025, やってみたいと思いますか？,qy
F2006_026, これから「スポーツ」について話しましょう！,op
F2006_027, 最近スポーツはしましたか？,qy
F2006_028, スポーツはよくするんですか？,qy
F2006_029, 好きなスポーツはなんですか？,qw
F2006_030, そのスポーツはするほうが好きですか？それとも見るほうが好きですか？,qw
F2006_031, するのが好きなんですね．最近はどこでしたんですか？,qw
F2006_032, そのスポーツはどういったところが面白いんですか？,qw
F2006_033, なるほど、面白そうですね，機会があればわたしもやってみたいです！,pa
F2006_034, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,qy
