index,state_i-1,state_i,action
1902F2001_082,3.0,3.8,3
1902F2001_083,3.8,4.0,4
1902F2001_084,4.0,5.0,7
1902F2001_085,5.0,5.4,6
1902F2001_086,5.4,4.2,5
1902F2001_087,4.2,6.0,7
1902F2001_088,6.0,4.0,3
1902F2001_089,4.0,5.6,7
1902F2001_090,5.6,4.4,3
1902F2001_091,4.4,4.6,7
1902F2001_092,4.6,4.0,3
1902F2001_093,4.0,4.0,3
1902F2001_094,4.0,4.0,4
1902F2001_095,4.0,5.4,7
1902F2001_096,5.4,6.0,6
1902F2001_097,6.0,4.4,5
1902F2001_098,4.4,6.2,7
1902F2001_099,6.2,5.8,6
1902F2001_100,5.8,5.8,6
1902F2001_101,5.8,3.8,5
1902F2001_102,3.8,4.6,7
1902F2001_103,4.6,3.8,0
1902F2001_104,3.8,3.2,7
1902F2001_105,3.2,4.6,3
1902F2001_106,4.6,4.0,3
1902F2001_107,4.0,3.4,5
1902F2001_108,3.4,3.6,3
1902F2001_109,3.6,4.0,6
1902F2001_110,4.0,3.2,6
1902F2001_111,3.2,4.0,3
1902F2002_001,4.0,4.0,3
1902F2002_002,4.0,4.0,3
1902F2002_003,4.0,4.6,7
1902F2002_004,4.6,4.4,7
1902F2002_005,4.4,4.2,3
1902F2002_006,4.2,4.2,3
1902F2002_007,4.2,4.0,4
1902F2002_008,4.0,5.0,6
1902F2002_009,5.0,4.8,6
1902F2002_010,4.8,5.4,6
1902F2002_011,5.4,5.4,6
1902F2002_012,5.4,5.2,7
1902F2002_013,5.2,4.0,5
1902F2002_014,4.0,6.0,6
1902F2002_015,6.0,5.2,7
1902F2002_016,5.2,5.0,6
1902F2002_017,5.0,5.6,7
1902F2002_018,5.6,4.6,6
1902F2002_019,4.6,4.4,3
1902F2002_020,4.4,4.0,3
1902F2002_021,4.0,4.2,3
1902F2002_022,4.2,4.0,4
1902F2002_023,4.0,5.2,6
1902F2002_024,5.2,4.0,3
1902F2002_025,4.0,5.2,6
1902F2002_026,5.2,4.0,4
1902F2002_027,4.0,5.0,7
1902F2002_028,5.0,5.2,6
1902F2002_029,5.2,5.6,6
1902F2002_030,5.6,4.4,5
1902F2002_031,4.4,4.2,3
1902F2002_032,4.2,5.6,7
1902F2002_033,5.6,5.4,6
1902F2002_034,5.4,4.4,5
1902F2002_035,4.4,4.0,4
1902F2002_036,4.0,5.6,6
1902F2002_037,5.6,5.2,6
1902F2002_038,5.2,5.0,6
1902F2002_039,5.0,4.4,5
1902F2002_040,4.4,4.0,3
1902F2002_041,4.0,4.0,4
1902F2002_042,4.0,4.2,4
1902F2002_043,4.2,3.8,7
1902F2002_044,3.8,4.0,7
1902F2002_045,4.0,5.6,7
1902F2002_046,5.6,4.4,3
1902F2002_047,4.4,5.4,6
1902F2002_048,5.4,4.6,5
1902F2002_049,4.6,4.0,3
1902F2002_050,4.0,4.0,4
1902F2002_051,4.0,5.0,6
1902F2002_052,5.0,5.6,7
1902F2002_053,5.6,6.2,6
1902F2002_054,6.2,4.0,3
1902F2002_055,4.0,5.6,7
1902F2002_056,5.6,5.2,7
1902F2002_057,5.2,4.2,5
1902F2002_058,4.2,5.0,7
1902F2002_059,5.0,4.8,5
1902F2002_060,4.8,3.0,7
1902F2002_061,3.0,4.0,3
1902F2002_062,4.0,5.8,7
1902F2002_063,5.8,6.0,3
1902F2002_067,6.0,4.0,3
1902F2002_068,4.0,5.0,7
1902F2002_069,5.0,4.8,6
1902F2002_070,4.8,3.8,3
1902F2002_071,3.8,3.6,7
1902F2002_072,3.6,4.2,3
1902F2002_073,4.2,3.4,7
1902F2002_074,3.4,4.0,3
1902F2002_075,4.0,5.0,7
1902F2002_076,5.0,5.2,6
1902F2002_077,5.2,5.0,5
1902F2002_078,5.0,5.4,6
1902F2002_079,5.4,4.8,3
1902F2002_080,4.8,4.0,4
1902F2002_081,4.0,4.0,4
1902F2002_082,4.0,5.2,7
1902F2002_083,5.2,5.6,6
1902F2002_084,5.6,4.0,3
1902F2002_085,4.0,5.4,7
1902F2002_086,5.4,6.2,6
1902F2002_087,6.2,4.8,5
1902F2002_088,4.8,5.6,7
1902F2002_089,5.6,5.8,6
1902F2002_090,5.8,4.6,5
1902F2002_091,4.6,5.8,7
1902F2002_092,5.8,4.8,5
1902F2002_093,4.8,4.0,3
1902F2002_094,4.0,4.8,6
1902F2002_095,4.8,5.0,6
1902F2002_096,5.0,4.2,3
1902F2002_097,4.2,3.2,7
1902F2002_098,3.2,2.8,7
1902F2002_099,2.8,3.2,0
1902F2002_100,3.2,3.2,3
1902F2002_101,3.2,4.0,5
1902F2002_102,4.0,4.0,3
1902F3001_001,4.0,4.8,3
1902F3001_002,4.8,4.8,3
1902F3001_003,4.8,5.4,7
1902F3001_004,5.4,5.4,7
1902F3001_005,5.4,5.4,3
1902F3001_006,5.4,5.0,3
1902F3001_007,5.0,4.2,4
1902F3001_008,4.2,5.4,6
1902F3001_009,5.4,5.6,6
1902F3001_010,5.6,4.2,6
1902F3001_011,4.2,4.8,6
1902F3001_012,4.8,6.0,7
1902F3001_013,6.0,3.8,5
1902F3001_014,3.8,4.0,4
1902F3001_016,4.0,4.0,4
1902F3001_017,4.0,4.8,6
1902F3001_018,4.8,4.6,6
1902F3001_019,4.6,2.8,4
1902F3001_020,2.8,3.2,7
1902F3001_021,3.2,3.4,7
1902F3001_022,3.4,4.2,3
1902F3001_023,4.2,3.2,7
1902F3001_026,3.2,4.0,4
1902F3001_027,4.0,5.0,7
1902F3001_028,5.0,5.4,6
1902F3001_029,5.4,5.4,7
1902F3001_030,5.4,5.0,6
1902F3001_031,5.0,3.8,7
1902F3001_032,3.8,3.6,3
1902F3001_033,3.6,4.8,7
1902F3001_034,4.8,4.0,3
1902F3001_035,4.0,3.8,4
1902F3001_036,3.8,5.4,7
1902F3001_037,5.4,5.8,7
1902F3001_038,5.8,4.2,3
1902F3001_039,4.2,4.2,7
1902F3001_040,4.2,3.6,3
1902F3001_041,3.6,3.6,7
1902F3001_042,3.6,3.4,7
1902F3001_043,3.4,2.8,7
1902F3001_044,2.8,5.0,7
1902F3001_045,5.0,5.2,6
1902F3001_046,5.2,4.6,3
1902F3001_047,4.6,4.0,4
1902F3001_048,4.0,4.0,4
1902F3001_049,4.0,5.6,6
1902F3001_050,5.6,3.6,7
1902F3001_051,3.6,4.6,3
1902F3001_052,4.6,4.8,6
1902F3001_053,4.8,4.0,7
1902F3001_054,4.0,2.8,5
1902F3001_055,2.8,4.6,7
1902F3001_056,4.6,4.6,7
1902F3001_057,4.6,5.2,6
1902F3001_058,5.2,4.2,3
1902F3001_059,4.2,4.0,3
1902F3001_060,4.0,3.2,6
1902F3001_061,3.2,5.2,6
1902F3001_062,5.2,4.0,3
1902F3001_063,4.0,4.2,3
1902F3002_001,4.0,4.0,3
1902F3002_002,4.0,4.2,3
1902F3002_003,4.2,4.8,7
1902F3002_004,4.8,5.2,7
1902F3002_005,5.2,5.0,3
1902F3002_006,5.0,4.8,3
1902F3002_007,4.8,4.0,4
1902F3002_008,4.0,5.2,6
1902F3002_009,5.2,6.2,6
1902F3002_010,6.2,5.0,6
1902F3002_011,5.0,6.0,7
1902F3002_012,6.0,6.0,7
1902F3002_013,6.0,6.0,6
1902F3002_014,6.0,5.0,5
1902F3002_015,5.0,5.2,7
1902F3002_016,5.2,5.0,3
1902F3002_017,5.0,3.8,5
1902F3002_018,3.8,4.8,6
1902F3002_019,4.8,4.4,5
1902F3002_020,4.4,4.6,3
1902F3002_021,4.6,4.0,4
1902F3002_022,4.0,4.4,4
1902F3002_023,4.4,5.0,6
1902F3002_024,5.0,5.2,6
1902F3002_025,5.2,4.8,6
1902F3002_026,4.8,3.8,3
1902F3002_027,3.8,4.8,7
1902F3002_028,4.8,5.0,7
1902F3002_029,5.0,3.8,3
1902F3002_030,3.8,4.6,3
1902F3002_031,4.6,4.0,4
1902F3002_032,4.0,5.2,7
1902F3002_033,5.2,4.8,6
1902F3002_034,4.8,5.0,6
1902F3002_035,5.0,4.2,5
1902F3002_036,4.2,4.2,4
1902F3002_037,4.2,5.0,6
1902F3002_038,5.0,5.2,6
1902F3002_039,5.2,5.4,6
1902F3002_040,5.4,5.4,7
1902F3002_041,5.4,4.8,6
1902F3002_042,4.8,4.0,5
1902F3002_043,4.0,4.2,4
1902F3002_044,4.2,4.4,7
1902F3002_045,4.4,5.2,6
1902F3002_046,5.2,6.0,6
1902F3002_047,6.0,4.0,3
1902F3002_048,4.0,4.8,7
1902F3002_049,4.8,4.0,3
1902F3002_050,4.0,4.8,7
1902F3002_051,4.8,5.2,6
1902F3002_052,5.2,4.0,3
1902F3002_053,4.0,4.0,3
1902F3002_054,4.0,4.0,3
1902F3002_055,4.0,4.0,4
1902F3002_056,4.0,3.8,4
1902F3002_057,3.8,5.4,7
1902F3002_058,5.4,5.6,6
1902F3002_059,5.6,3.6,6
1902F3002_060,3.6,5.6,7
1902F3002_061,5.6,4.2,5
1902F3002_062,4.2,5.8,6
1902F3002_063,5.8,3.8,7
1902F3002_064,3.8,4.4,7
1902F3002_065,4.4,5.6,7
1902F3002_066,5.6,4.4,5
1902F3002_067,4.4,5.0,7
1902F3002_068,5.0,4.0,3
1902F3002_069,4.0,4.0,3
1902F3002_070,4.0,4.2,4
1902F3002_071,4.2,3.2,7
1902F3002_072,3.2,3.8,3
1902F3002_073,3.8,2.8,3
1902F3002_074,2.8,4.6,6
1902F3002_075,4.6,4.4,7
1902F3002_076,4.4,4.8,5
1902F3002_077,4.8,5.8,7
1902F3002_078,5.8,4.8,5
1902F3002_079,4.8,4.0,3
1902F3002_080,4.0,4.0,6
1902F3002_081,4.0,5.0,6
1902F3002_082,5.0,4.0,3
1902F4001_001,4.0,4.4,3
1902F4001_002,4.4,4.4,3
1902F4001_003,4.4,4.4,7
1902F4001_004,4.4,4.4,7
1902F4001_005,4.4,4.6,6
1902F4001_006,4.6,5.2,3
1902F4001_007,5.2,5.0,3
1902F4001_008,5.0,4.0,4
1902F4001_009,4.0,4.0,4
1902F4001_010,4.0,5.2,6
1902F4001_011,5.2,4.6,6
1902F4001_012,4.6,4.0,6
1902F4001_013,4.0,3.2,7
1902F4001_014,3.2,3.2,7
1902F4001_015,3.2,4.0,3
1902F4001_016,4.0,5.0,6
1902F4001_017,5.0,5.4,6
1902F4001_018,5.4,5.8,7
1902F4001_019,5.8,6.2,6
1902F4001_020,6.2,4.8,5
1902F4001_021,4.8,5.2,5
1902F4001_022,5.2,4.0,4
1902F4001_023,4.0,4.8,6
1902F4001_024,4.8,4.6,6
1902F4001_025,4.6,4.2,4
1902F4001_026,4.2,5.4,7
1902F4001_027,5.4,5.2,7
1902F4001_028,5.2,5.8,6
1902F4001_029,5.8,4.2,3
1902F4001_030,4.2,5.2,7
1902F4001_031,5.2,4.2,3
1902F4001_032,4.2,4.8,0
1902F4001_033,4.8,4.0,3
1902F4001_034,4.0,4.0,4
1902F4001_035,4.0,4.0,4
1902F4001_036,4.0,5.2,6
1902F4001_037,5.2,6.4,6
1902F4001_038,6.4,4.2,3
1902F4001_039,4.2,4.0,7
1902F4001_040,4.0,5.4,6
1902F4001_041,5.4,5.6,7
1902F4001_042,5.6,4.2,3
1902F4001_043,4.2,4.0,4
1902F4001_044,4.0,3.6,7
1902F4001_045,3.6,3.8,3
1902F4001_046,3.8,5.6,7
1902F4001_047,5.6,4.0,6
1902F4001_048,4.0,6.0,6
1902F4001_049,6.0,4.4,3
1902F4001_050,4.4,4.0,3
1902F4001_051,4.0,4.0,3
1902F4001_052,4.0,4.0,4
1902F4001_053,4.0,4.6,7
1902F4001_054,4.6,5.6,6
1902F4001_055,5.6,4.2,3
1902F4001_056,4.2,6.2,6
1902F4001_057,6.2,5.2,3
1902F4001_058,5.2,4.2,3
1902F4001_059,4.2,4.0,4
1902F4001_060,4.0,5.4,7
1902F4001_061,5.4,5.6,7
1902F4001_062,5.6,5.6,7
1902F4001_063,5.6,4.2,0
1902F4001_064,4.2,6.2,7
1902F4001_065,6.2,4.4,3
1902F4001_066,4.4,6.0,6
1902F4001_067,6.0,5.8,7
1902F4001_068,5.8,4.8,5
1902F4001_069,4.8,4.2,3
1902F4001_070,4.2,4.0,6
1902F4001_071,4.0,5.0,6
1902F4001_072,5.0,4.0,3
1902F4002_001,4.0,4.2,3
1902F4002_002,4.2,4.6,3
1902F4002_003,4.6,5.2,7
1902F4002_004,5.2,5.0,6
1902F4002_005,5.0,4.6,7
1902F4002_006,4.6,4.8,6
1902F4002_007,4.8,6.2,3
1902F4002_008,6.2,6.0,3
1902F4002_009,6.0,4.2,4
1902F4002_010,4.2,5.0,6
1902F4002_011,5.0,5.4,6
1902F4002_012,5.4,5.2,6
1902F4002_013,5.2,5.2,7
1902F4002_014,5.2,5.2,6
1902F4002_015,5.2,6.4,5
1902F4002_016,6.4,4.2,4
1902F4002_017,4.2,4.2,4
1902F4002_018,4.2,4.8,6
1902F4002_019,4.8,5.6,6
1902F4002_020,5.6,4.4,4
1902F4002_021,4.4,5.6,7
1902F4002_022,5.6,5.6,6
1902F4002_023,5.6,6.2,7
1902F4002_024,6.2,6.2,6
1902F4002_025,6.2,6.0,6
1902F4002_026,6.0,6.0,5
1902F4002_027,6.0,5.6,7
1902F4002_028,5.6,3.8,3
1902F4002_029,3.8,4.6,3
1902F4002_030,4.6,4.0,4
1902F4002_031,4.0,5.2,7
1902F4002_032,5.2,5.4,7
1902F4002_033,5.4,4.2,6
1902F4002_034,4.2,5.6,6
1902F4002_035,5.6,5.0,3
1902F4002_036,5.0,3.6,4
1902F4002_037,3.6,5.0,7
1902F4002_038,5.0,4.2,7
1902F4002_039,4.2,5.0,6
1902F4002_040,5.0,5.2,5
1902F4002_041,5.2,4.2,4
1902F4002_042,4.2,3.8,7
1902F4002_043,3.8,3.8,6
1902F4002_044,3.8,3.6,3
1902F4002_045,3.6,3.6,7
1902F4002_046,3.6,3.8,3
1902F4002_047,3.8,3.6,7
1902F4002_048,3.6,3.6,3
1902F4002_049,3.6,5.0,3
1902F4002_050,5.0,5.8,7
1902F4002_051,5.8,5.4,6
1902F4002_052,5.4,5.2,6
1902F4002_053,5.2,3.6,3
1902F4002_054,3.6,3.6,3
1902F4002_055,3.6,4.0,4
1902F4002_056,4.0,4.0,7
1902F4002_057,4.0,5.2,6
1902F4002_058,5.2,5.6,7
1902F4002_059,5.6,5.2,7
1902F4002_060,5.2,5.8,6
1902F4002_061,5.8,4.0,3
1902F4002_062,4.0,5.4,6
1902F4002_063,5.4,3.4,7
1902F4002_064,3.4,4.4,3
1902F4002_065,4.4,3.8,6
1902F4002_066,3.8,4.4,6
1902F4002_067,4.4,3.4,3
1902F4002_068,3.4,3.8,3
1902F4003_001,4.0,4.0,3
1902F4003_002,4.0,4.2,3
1902F4003_003,4.2,4.6,7
1902F4003_004,4.6,4.8,7
1902F4003_005,4.8,4.6,6
1902F4003_006,4.6,4.6,3
1902F4003_007,4.6,4.8,3
1902F4003_008,4.8,4.0,4
1902F4003_009,4.0,4.8,6
1902F4003_010,4.8,5.8,6
1902F4003_011,5.8,6.4,7
1902F4003_012,6.4,5.4,6
1902F4003_013,5.4,6.6,7
1902F4003_014,6.6,5.6,3
1902F4003_015,5.6,6.0,7
1902F4003_016,6.0,4.2,5
1902F4003_017,4.2,4.0,4
1902F4003_018,4.0,4.0,4
1902F4003_019,4.0,5.4,6
1902F4003_020,5.4,5.0,7
1902F4003_021,5.0,3.8,6
1902F4003_022,3.8,5.2,7
1902F4003_023,5.2,4.8,7
1902F4003_024,4.8,5.8,0
1902F4003_025,5.8,5.4,7
1902F4003_026,5.4,4.0,3
1902F4003_027,4.0,4.2,7
1902F4003_028,4.2,2.4,7
1902F4003_029,2.4,4.0,3
1902F4003_030,4.0,4.0,4
1902F4003_031,4.0,4.0,6
1902F4003_032,4.0,4.2,4
1902F4003_033,4.2,3.8,7
1902F4003_034,3.8,4.6,6
1902F4003_035,4.6,5.2,6
1902F4003_036,5.2,4.0,3
1902F4003_037,4.0,2.8,7
1902F4003_038,2.8,3.4,1
1902F4003_039,3.4,4.0,7
1902F4003_040,4.0,4.4,6
1902F4003_041,4.4,4.4,3
1902F4003_042,4.4,3.4,7
1902F4003_043,3.4,3.8,3
1902F4003_044,3.8,5.0,7
1902F4003_045,5.0,4.4,6
1902F4003_046,4.4,3.8,3
1902F4003_047,3.8,5.2,6
1902F4003_048,5.2,3.8,3
1902F4003_049,3.8,4.0,4
1902F4003_050,4.0,4.2,4
1902F4003_051,4.2,2.2,7
1902F4003_052,2.2,4.6,6
1902F4003_053,4.6,5.2,7
1902F4003_054,5.2,5.6,6
1902F4003_055,5.6,4.0,3
1902F4003_056,4.0,5.0,7
1902F4003_057,5.0,5.2,6
1902F4003_058,5.2,3.8,5
1902F4003_059,3.8,3.2,7
1902F4003_060,3.2,4.4,7
1902F4003_061,4.4,5.2,6
1902F4003_062,5.2,5.4,3
1902F4003_063,5.4,4.6,5
1902F4003_064,4.6,4.4,3
1902F4003_065,4.4,4.2,4
1902F4003_066,4.2,5.0,7
1902F4003_067,5.0,6.0,6
1902F4003_068,6.0,4.0,7
1902F4003_069,4.0,3.6,3
1902F4003_070,3.6,4.8,7
1902F4003_071,4.8,4.2,3
1902F4003_072,4.2,3.6,3
1902F4003_073,3.6,5.4,6
1902F4003_074,5.4,5.4,6
1902F4003_075,5.4,4.0,3
1902F4003_076,4.0,4.0,3
1902F4004_001,4.0,4.0,3
1902F4004_002,4.0,4.6,3
1902F4004_003,4.6,5.2,7
1902F4004_004,5.2,5.2,7
1902F4004_005,5.2,5.6,3
1902F4004_006,5.6,5.8,3
1902F4004_007,5.8,4.0,4
1902F4004_008,4.0,5.6,6
1902F4004_009,5.6,6.4,6
1902F4004_010,6.4,5.6,6
1902F4004_011,5.6,4.6,7
1902F4004_012,4.6,4.2,3
1902F4004_013,4.2,5.4,7
1902F4004_014,5.4,4.8,6
1902F4004_017,4.8,5.6,2
1902F4004_018,5.6,4.2,3
1902F4004_019,4.2,4.0,4
1902F4004_020,4.0,4.2,4
1902F4004_021,4.2,5.2,6
1902F4004_022,5.2,5.2,6
1902F4004_023,5.2,4.4,3
1902F4004_024,4.4,4.2,4
1902F4004_025,4.2,4.8,7
1902F4004_026,4.8,4.8,7
1902F4004_027,4.8,5.4,6
1902F4004_028,5.4,5.2,6
1902F4004_029,5.2,4.4,7
1902F4004_030,4.4,4.0,3
1902F4004_031,4.0,4.0,3
1902F4004_032,4.0,4.2,4
1902F4004_033,4.2,5.0,7
1902F4004_034,5.0,4.2,7
1902F4004_035,4.2,4.8,6
1902F4004_036,4.8,5.4,6
1902F4004_037,5.4,5.2,6
1902F4004_038,5.2,5.0,6
1902F4004_039,5.0,5.0,5
1902F4004_040,5.0,4.2,3
1902F4004_041,4.2,4.0,4
1902F4004_042,4.0,2.8,7
1902F4004_043,2.8,4.8,7
1902F4004_044,4.8,2.6,7
1902F4004_045,2.6,3.0,3
1902F4004_046,3.0,4.2,3
1902F4004_047,4.2,4.0,4
1902F4004_048,4.0,5.4,7
1902F4004_049,5.4,5.8,6
1902F4004_050,5.8,5.6,7
1902F4004_051,5.6,4.4,3
1902F4004_052,4.4,4.6,7
1902F4004_053,4.6,4.0,3
1902F4004_054,4.0,4.8,7
1902F4004_055,4.8,4.6,3
1902F4004_056,4.6,4.6,7
1902F4004_057,4.6,4.8,6
1902F4004_058,4.8,3.0,3
1902F4004_059,3.0,3.6,3
1902F4004_060,3.6,4.2,4
1902F4004_061,4.2,4.2,4
1902F4004_062,4.2,5.6,7
1902F4004_063,5.6,5.8,6
1902F4004_064,5.8,6.4,5
1902F4004_065,6.4,6.4,7
1902F4004_066,6.4,5.0,5
1902F4004_067,5.0,4.2,5
1902F4004_068,4.2,5.0,7
1902F4004_069,5.0,4.2,3
1902F4004_070,4.2,4.2,5
1902F4004_071,4.2,5.2,7
1902F4004_072,5.2,5.2,3
1902F4004_073,5.2,5.2,5
1902F4004_074,5.2,4.8,3
1902F4004_075,4.8,4.0,6
1902F4004_076,4.0,4.0,6
1902F4004_077,4.0,4.2,3
1902F4005_001,4.0,4.0,3
1902F4005_002,4.0,4.0,3
1902F4005_003,4.0,4.4,7
1902F4005_004,4.4,5.2,7
1902F4005_005,5.2,5.0,3
1902F4005_006,5.0,4.2,6
1902F4005_007,4.2,4.0,3
1902F4005_008,4.0,4.8,3
1902F4005_009,4.8,4.0,4
1902F4005_010,4.0,5.0,6
1902F4005_011,5.0,5.2,6
1902F4005_012,5.2,5.0,6
1902F4005_013,5.0,5.0,6
1902F4005_014,5.0,5.4,7
1902F4005_015,5.4,4.6,3
1902F4005_016,4.6,5.6,7
1902F4005_017,5.6,5.0,6
1902F4005_018,5.0,3.8,3
1902F4005_019,3.8,3.0,3
1902F4005_020,3.0,3.6,3
1902F4005_021,3.6,4.0,4
1902F4005_022,4.0,4.0,4
1902F4005_023,4.0,4.6,6
1902F4005_024,4.6,5.2,6
1902F4005_025,5.2,4.2,4
1902F4005_026,4.2,5.4,7
1902F4005_027,5.4,5.4,6
1902F4005_028,5.4,4.2,3
1902F4005_029,4.2,5.2,6
1902F4005_030,5.2,4.4,3
1902F4005_031,4.4,4.2,3
1902F4005_032,4.2,3.6,7
1902F4005_033,3.6,4.6,0
1902F4005_034,4.6,5.0,7
1902F4005_035,5.0,5.0,6
1902F4005_036,5.0,5.4,7
1902F4005_037,5.4,4.2,3
1902F4005_038,4.2,5.4,6
1902F4005_039,5.4,6.2,6
1902F4005_040,6.2,5.0,5
1902F4005_041,5.0,4.8,7
1902F4005_042,4.8,4.6,0
1902F4005_043,4.6,4.4,7
1902F4005_044,4.4,5.4,7
1902F4005_045,5.4,4.4,3
1902F4005_046,4.4,4.6,7
1902F4005_047,4.6,5.2,3
1902F4005_048,5.2,5.0,6
1902F4005_049,5.0,4.0,3
1902F4005_050,4.0,5.8,0
1902F4005_051,5.8,4.8,3
1902F4005_052,4.8,4.0,4
1902F4005_053,4.0,4.8,7
1902F4005_054,4.8,4.8,6
1902F4005_055,4.8,4.0,3
1902F4005_056,4.0,2.8,7
1902F4005_057,2.8,3.6,7
1902F4005_058,3.6,3.4,7
1902F4005_059,3.4,3.8,3
1902F4005_060,3.8,4.6,7
1902F4005_061,4.6,5.2,6
1902F4005_062,5.2,4.0,3
1902F4005_063,4.0,3.8,3
1902F4005_064,3.8,4.0,4
1902F4005_065,4.0,3.0,7
1902F4005_066,3.0,5.0,7
1902F4005_067,5.0,5.8,6
1902F4005_068,5.8,5.6,5
1902F4005_069,5.6,5.6,7
1902F4005_070,5.6,5.0,5
1902F4005_071,5.0,5.4,7
1902F4005_072,5.4,6.0,6
1902F4005_073,6.0,4.6,5
1902F4005_074,4.6,5.2,7
1902F4005_075,5.2,5.6,3
1902F4005_076,5.6,4.4,5
1902F4005_077,4.4,4.4,3
1902F4005_078,4.4,4.0,4
1902F4005_079,4.0,4.0,4
1902F4005_080,4.0,3.0,7
1902F4005_081,3.0,5.2,7
1902F4005_082,5.2,6.2,7
1902F4005_083,6.2,5.2,5
1902F4005_084,5.2,5.8,7
1902F4005_085,5.8,4.8,5
1902F4005_086,4.8,4.0,3
1902F4005_087,4.0,3.8,6
1902F4005_088,3.8,5.2,6
1902F4005_089,5.2,4.2,5
1902F4005_090,4.2,4.0,3
1902F4006_001,4.0,4.0,3
1902F4006_002,4.0,4.4,3
1902F4006_003,4.4,4.6,7
1902F4006_004,4.6,5.2,7
1902F4006_005,5.2,4.8,6
1902F4006_006,4.8,4.0,3
1902F4006_007,4.0,4.8,3
1902F4006_008,4.8,4.6,3
1902F4006_009,4.6,4.2,4
1902F4006_010,4.2,5.2,6
1902F4006_011,5.2,5.2,6
1902F4006_012,5.2,5.6,6
1902F4006_013,5.6,5.6,7
1902F4006_014,5.6,5.8,7
1902F4006_015,5.8,5.2,6
1902F4006_016,5.2,5.0,5
1902F4006_017,5.0,6.4,7
1902F4006_018,6.4,5.8,7
1902F4006_019,5.8,4.4,3
1902F4006_020,4.4,4.2,3
1902F4006_021,4.2,4.0,4
1902F4006_022,4.0,4.2,4
1902F4006_023,4.2,5.0,6
1902F4006_024,5.0,5.2,6
1902F4006_025,5.2,4.2,4
1902F4006_026,4.2,3.0,7
1902F4006_027,3.0,5.0,6
1902F4006_028,5.0,5.6,6
1902F4006_029,5.6,5.0,6
1902F4006_030,5.0,6.2,6
1902F4006_031,6.2,4.4,5
1902F4006_032,4.4,2.8,7
1902F4006_033,2.8,3.8,3
1902F4006_034,3.8,4.0,4
1902F4006_035,4.0,4.8,7
1902F4006_036,4.8,4.8,7
1902F4006_037,4.8,5.8,7
1902F4006_038,5.8,5.8,6
1902F4006_039,5.8,4.2,6
1902F4006_040,4.2,3.8,5
1902F4006_041,3.8,5.2,6
1902F4006_042,5.2,3.8,3
1902F4006_043,3.8,4.0,4
