theme,freq,agent_utterance
休日の過ごしかた,4, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？
休日の過ごしかた,2, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。
休日の過ごしかた,30, 次に「お休みの日の過ごし方」についてお話ししましょう！
休日の過ごしかた,1, 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。
休日の過ごしかた,3, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。
休日の過ごしかた,2, 面白いですよね。
学校,1, すごい！
学校,14, その時、どんなことをしたのですか？
学校,18, それでは少し「学校」について話しましょう！
学校,6, それはご活躍されたんですね・・
学校,4, それはたいへんでしたね。
学校,13, それは楽しい時間でしたね！
学校,4, それは面白い体験ですね！
学校,3, ほかにたいへんだったことはありますか？
学校,2, ほかには、ありますか？
学校,8, ほかにエピソードはありますか？
学校,8, 今までの体験の中で、そのほか、楽しかったことはありますか？
学校,5, 学生時代、たいへんだった体験はありますか？
学校,9, 学生時代、一番楽しかった学年はありますか？
学校,8, 学生時代で、楽しかったエピソードを教えてください・・
学校,6, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？
学校,3, 最近、学校にはいきましたか？
学校,4, 貴重な体験をされましたね・・
学校,10, 貴重な体験談をありがとうございました・・
学校,8, 運動会や、学芸会などのイベントで面白かった体験はありますか？
学校,1, 面白かったんですね！
旅行,16, 「温泉」などリフレッシュするためにいきますか？
旅行,24, さいきん旅行には行きましたか？
旅行,5, すごい！面白い体験をされましたね!
旅行,5, その旅先で何かハプニングはありましたか!
旅行,23, その旅先で何が一番楽しかったですか？
旅行,22, その旅先で美味しい食べ物はたべましたか・・
旅行,28, それでは「旅行」について話しましょう
旅行,3, それは、たいへんでしたね!
旅行,14, それは、美味しそうですね。
旅行,5, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
旅行,7, なるほど、それはリラックスできますね。
旅行,10, なるほど、それは素晴らしい経験ですね。
旅行,7, なるほど、それは面白そうですね。
旅行,16, ほかには何か面白いことはありましたか？
旅行,23, 今までいった「旅行」で特におすすめの場所はありますか？
旅行,4, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
旅行,13, 具体的には教えてもらえますか？
旅行,4, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
旅行,4, 旅行にはよく行かれますか？
旅行,12, 旅行に行くときはなにか目的はありますか？
旅行,10, 旅行はどこに行ったことがありますか？
旅行,20, 貴重な体験談をありがとうございました。
映画,4, 「映画館」か「テレビ」かどちらでよく映画をみますか？
映画,3, おすすめの映画ってありますか？
映画,1, そうですか，では一度独自で調べてみますね！
映画,1, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！
映画,12, それでは少し「映画」について話しましょう
映画,5, それのどういったところが好きなんですか？
映画,10, それは一体どういった内容なんですか？
映画,1, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？
映画,4, では，もう一度見たい映画はありますか？
映画,3, では，最近どんな映画を見られたんですか？
映画,4, なるほど、それは面白そうですね！私も観てみたいです！
映画,1, なるほど，では私もチェックしておきますね！
映画,4, 映画では洋画，邦画，それ以外のどれが好きですか？
映画,2, 最近映画は見ましたか？
映画,11, 最近見た映画はありますか？
映画,5, 洋画が好きなんですか，おすすめの洋画ってありますか？
映画,4, 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・
映画,3, 邦画が好きなんですか，おすすめの邦画ってありますか？
最後の質問,31, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？
最後の質問,1, これで対話を終了します．ご協力ありがとうございました・・
最後の質問,30, それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？
最後の質問,24, なるほど、ありがとうございました。
本,2, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？
本,3, いいですね，とても興味深いです！
本,1, そうなんですか，その作品はおすすめですか？
本,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！
本,1, その作者のどういったところが好きなんですか？
本,3, その本のどういったところが好きなんですか？
本,8, それでは少し「本」について話しましょう
本,1, それはどんな「内容」なんですか？
本,128, なるほど、そうなんですね。
本,1, なるほど、それは面白そうですね。今度知りあいにすすめてみます。
本,3, よく読むんですか。いいですね。おすすめの作者や本はありますか？
本,1, 一番好きなシーンなどはありますか？
本,6, 最近本は読みましたか？
本,7, 本はよく読む方ですか？
本,3, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？
音楽,7, おすすめの曲はありますか？
音楽,3, おすすめの歌手やきょくってありますか？
音楽,3, がっきは何を演奏するのですか。
音楽,2, すごいですね。一度聞かせていただけるとうれしいです。
音楽,1, そうですか、残念です・・
音楽,2, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
音楽,7, そのきょくのどういうところが好きなんですか？
音楽,7, そのきょくのどういうところが好きなんですか？
音楽,8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
音楽,2, そのほかで、おすすめのものはありますか？あったら教えてください．
音楽,1, その作曲者のどういうところが好きなんですか？
音楽,10, その歌手のどういうところが好きなんですか？
音楽,10, その歌手のどういうところが好きなんですか？
音楽,21, それでは少し「音楽」について話しましょう！
音楽,10, とても楽しそうですね。
音楽,4, なまで演奏をきくと、迫力があって、感動するみたいですね！
音楽,5, わたしも実際に、演奏をきいてみたいものです。
音楽,10, カラオケでよくなにをうたうのですか？
音楽,3, カラオケで歌ったりするのですか？
音楽,4, カラオケに行くときはお友達と行きますか？
音楽,14, カラオケは好きですか？
音楽,2, クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？
音楽,6, コンサートとかには行きますか？
音楽,3, 具体的に教えてください？
音楽,6, 最近音楽は聞きましたか？
音楽,6, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
音楽,8, 素敵な趣味ですね。
音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
音楽,8, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？
食事,1, いい思い出だったようです。
食事,2, おばあちゃんがよく家で出してくれていたと言っていました。
食事,9, お友達とランチに行ったりしますか？
食事,15, からい食べものとはどんな食べものが好きですか？
食事,8, そうですか、とても美味しそうですね・・
食事,8, そうですか、とても美味しそうですね・・
食事,2, そうですか。最近はまっている食べ物はありますか・・
食事,6, そのほかにおすすめのものはありますか？
食事,30, それでは「食べ物」について話しましょう！
食事,12, それは「最近」食べられたんですか？
食事,8, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
食事,4, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
食事,8, どこで食べられたんですか・・
食事,7, どんなところに行きますか？和食ですか洋食ですか？
食事,20, なるほど、その中でもおすすめのスイーツはありますか？
食事,13, なるほど、それは美味しそうですね・・
食事,23, なるほど、普段はどこでスイーツを買いますか？
食事,1, 具体的にどういう味か教えてください。
食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
食事,30, 甘いものと、からいものどちらがお好きですか？
食事,8, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・
食事,10, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
