theme,freq,agent_utterance
旅行,4, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
旅行,4, 旅行にはよく行かれますか？
旅行,11, 旅行に行くときはなにか目的はありますか？
旅行,10, 旅行はどこに行ったことがありますか？
映画,4, 「映画館」か「テレビ」かどちらでよく映画をみますか？
映画,3, おすすめの映画ってありますか？
映画,10, それは一体どういった内容なんですか？
映画,1, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？
映画,4, では，もう一度見たい映画はありますか？
映画,3, では，最近どんな映画を見られたんですか？
映画,4, 映画では洋画，邦画，それ以外のどれが好きですか？
映画,2, 最近映画は見ましたか？
映画,11, 最近見た映画はありますか？
映画,5, 洋画が好きなんですか，おすすめの洋画ってありますか？
映画,3, 邦画が好きなんですか，おすすめの邦画ってありますか？
本,2, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？
本,1, そうなんですか，その作品はおすすめですか？
本,1, その作者のどういったところが好きなんですか？
本,3, その本のどういったところが好きなんですか？
本,1, それはどんな「内容」なんですか？
本,3, よく読むんですか。いいですね。おすすめの作者や本はありますか？
本,1, 一番好きなシーンなどはありますか？
本,6, 最近本は読みましたか？
本,7, 本はよく読む方ですか？
本,3, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？
音楽,7, おすすめの曲はありますか？
音楽,3, おすすめの歌手やきょくってありますか？
音楽,7, そのきょくのどういうところが好きなんですか？
音楽,8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
音楽,1, その作曲者のどういうところが好きなんですか？
音楽,10, その歌手のどういうところが好きなんですか？
音楽,9, カラオケでよくなにをうたうのですか？
音楽,3, カラオケで歌ったりするのですか？
音楽,4, カラオケに行くときはお友達と行きますか？
音楽,14, カラオケは好きですか？
音楽,2, クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？
音楽,6, コンサートとかには行きますか？
音楽,6, 最近音楽は聞きましたか？
音楽,6, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
音楽,8, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？
食事,9, お友達とランチに行ったりしますか？
食事,15, からい食べものとはどんな食べものが好きですか？
食事,12, それは「最近」食べられたんですか？
食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
食事,7, どんなところに行きますか？和食ですか洋食ですか？
食事,20, なるほど、その中でもおすすめのスイーツはありますか？
食事,23, なるほど、普段はどこでスイーツを買いますか？
食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
食事,30, 甘いものと、からいものどちらがお好きですか？
食事,10, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
