agent_utterance,theme
 なるほど、その中でもおすすめのスイーツはありますか？,食事
 そうですか。最近はまっている食べ物はありますか・・,食事
 具体的にどういう味か教えてください。,食事
 とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事
 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,食事
 おばあちゃんがよく家で出してくれていたと言っていました。,食事
 いい思い出だったようです。,食事
 からい食べものとはどんな食べものが好きですか？,食事
 そうですか、とても美味しそうですね・・,食事
 そのほかにおすすめのものはありますか？,食事
 それは「最近」食べられたんですか？,食事
 どこで食べられたんですか・・,食事
 美味しそうですね。今度ほかの人にも教えてみます！,食事
 なるほど、それは美味しそうですね・・,食事
 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,食事
 お友達とランチに行ったりしますか？,食事
 どんなところに行きますか？和食ですか洋食ですか？,食事
 たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,食事
 次に「お休みの日の過ごし方」についてお話ししましょう！,休日の過ごしかた
 休日は家で過ごすほうが多いですか？外出することが多いですか？,休日の過ごしかた
 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,休日の過ごしかた
 そとで過ごすときはスポーツをしたりしますか・・,休日の過ごしかた
 お子さんとはよく公園で遊びますか？,休日の過ごしかた
 何をして遊ぶことが多いですか？,休日の過ごしかた
 サッカーとかバトミントンとかいっしょにスポーツはしますか？,休日の過ごしかた
 お子さんと遊ぶのは体力が必要で、大変ですよね。,休日の過ごしかた
 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。,休日の過ごしかた
 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,休日の過ごしかた
 なるほど、少し遠いですね。,休日の過ごしかた
 お子さんに自転車を教えるのは大変ではなかったですか？,休日の過ごしかた
 大変ですよね。,休日の過ごしかた
 運動神経がいいんですね。,休日の過ごしかた
 すごい！,休日の過ごしかた
 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,休日の過ごしかた
 それは大変ですよね。,休日の過ごしかた
 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,休日の過ごしかた
 人工知能を搭載した、アイボのようなロボットに興味はありますか？,休日の過ごしかた
 いぬがたのロボットで、とてもかわいがる人もいるようです。,休日の過ごしかた
 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,休日の過ごしかた
 グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,休日の過ごしかた
 一度ネットワークにつなぐと、あとはラクなようですよ。,休日の過ごしかた
 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。,休日の過ごしかた
 面白いですよね。,休日の過ごしかた
 それでは少し「ゲーム」について話しましょう,ゲーム
 ゲームはよくする方なんですか？,ゲーム
 おすすめのゲームってありますか？,ゲーム
 最近ハマっているゲームはありますか？,ゲーム
 好きなゲームやおすすめのゲームってありますか？,ゲーム
 携帯ゲームかテレビゲームならどちらをしますか？,ゲーム
 いつもはどんなジャンルのゲームをするんですか？,ゲーム
 それはなんていう作品なんですか？,ゲーム
 では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,ゲーム
 それは一体どんなゲームなんですか？,ゲーム
 そのゲームのどんなところが好きなんですか？,ゲーム
 なるほど。私もやってみたいです！,ゲーム
 そうですか，では先程のおすすめのゲームを今度しりあいにつたえてみますね！,ゲーム
 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,ゲーム
 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,ゲーム
 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	,ゲーム
 それでは少し「アニメ・漫画」について話しましょう！,アニメ・漫画
 最近アニメや漫画をよく見ますか？,アニメ・漫画
 おすすめのアニメってありますか？,アニメ・漫画
 おすすめの漫画ってありますか？,アニメ・漫画
 では、見たことのあるアニメや漫画はありますか？,アニメ・漫画
 見たことのあるものの中で一番好きなものはなんですか？,アニメ・漫画
 なんていう作品なんですか？,アニメ・漫画
 それは一体どういった内容なんですか？,アニメ・漫画
 どういったところが好きなんですか？,アニメ・漫画
 楽しそうですね。今度知りあいにすすめてみたいと思います！,アニメ・漫画
 私の知りあいは子どもと、ポケモンを毎週欠かさず見ているそうです。かわいいキャラクターや、主人公が「冒険する」アニメが好きなんだと、言っていましたが、具体的に好きなアニメを教えてください。,アニメ・漫画
 そのほかに、よく見るアニメはありますか？,アニメ・漫画
 いいですね，知りあいにすすめてみたいと思います！,アニメ・漫画
 それでは少し「映画」について話しましょう,映画
 最近見た映画はありますか？,映画
 なんというタイトルですか？,映画
 おすすめの映画ってありますか？,映画
 最近映画は見ましたか？,映画
 映画では洋画，邦画，それ以外のどれが好きですか？,映画
 邦画が好きなんですか，おすすめの邦画ってありますか？,映画
 洋画が好きなんですか，おすすめの洋画ってありますか？,映画
 それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,映画
 それは一体どういった内容なんですか？,映画
 それのどういったところが好きなんですか？,映画
 なるほど、それは面白そうですね！私も観てみたいです！,映画
 では，最近どんな映画を見られたんですか？,映画
 では，もう一度見たい映画はありますか？,映画
 そうなんですか。それは残念です。,映画
 なるほど，では私もチェックしておきますね！,映画
 そうですか，では一度独自で調べてみますね！,映画
 そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,映画
 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・,映画
 「映画館」か「テレビ」かどちらでよく映画をみますか？,映画
 それでは少し「音楽」について話しましょう！,音楽
 最近音楽は聞きましたか？,音楽
 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽
 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
 クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？,音楽
 具体的に教えてください？,音楽
 それ以外なんですね．どんなジャンルの曲が好きなんですか？,音楽
 その歌手のどういうところが好きなんですか？,音楽
 そのきょくのどういうところが好きなんですか？,音楽
 その作曲者のどういうところが好きなんですか？,音楽
 カラオケは好きですか？,音楽
 カラオケで歌ったりするのですか？,音楽
 カラオケでよくなにをうたうのですか？,音楽
 カラオケに行くときはお友達と行きますか？,音楽
 とても楽しそうですね。,音楽
 素敵な趣味ですね。,音楽
 おすすめの曲はありますか？,音楽
 最近聞いた音楽はありますか？,音楽
 おすすめの歌手やきょくってありますか？,音楽
 その歌手のどういうところが好きなんですか？,音楽
 そのきょくのどういうところが好きなんですか？,音楽
 そうですか、残念です・・,音楽
 そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽
 そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽
 そのほかで、おすすめのものはありますか？あったら教えてください．,音楽
 がっきは何を演奏するのですか。,音楽
 すごいですね。一度聞かせていただけるとうれしいです。,音楽
 コンサートとかには行きますか？,音楽
 なまで演奏をきくと、迫力があって、感動するみたいですね！,音楽
 わたしも実際に、演奏をきいてみたいものです。,音楽
 それでは少し「本」について話しましょう,本
 最近本は読みましたか？,本
 本はよく読む方ですか？,本
 よく読むんですか。いいですね。おすすめの作者や本はありますか？,本
 その作者のどういったところが好きなんですか？,本
 その作者のおすすめの本はありますか？,本
 その本のどういったところが好きなんですか？,本
 一番好きなシーンなどはありますか？,本
 そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,本
 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,本
 なるほど、そうなんですね。,本
 あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,本
 それはどんな「内容」なんですか？,本
 なるほど、それは面白そうですね。今度知りあいにすすめてみます。,本
 そうなんですね，面白そうですね？,本
 そうなんですか，その作品はおすすめですか？,本
 そうなんですね，ぜひ周りの人に教えてみます！,本
 今後しりあいにすすめてみたいと思います？,本
 いいですね，とても興味深いです！,本
 そうですか，それは残念です・・,本
 そうですか．一度独自で調べてみますね・・,本
 それでは少し「ドラマ」の話をしましょう！,ドラマ
 さいきんドラマは見ましたか？,ドラマ
 ドラマはよく見る方ですか？,ドラマ
 あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,ドラマ
 ドラマはあまり見ないんですね。テレビでよく見る番組とかはありますか？,ドラマ
 健康番組、とかトーク番組とか見られますか？,ドラマ
 なるほど、そうなんですね・・,ドラマ
 そういった番組も面白いですよね。,ドラマ
 よく見るんですか！いいですね。,ドラマ
 では，おすすめのドラマは何ですか？よろしければ教えてください。,ドラマ
 そのドラマはどんな内容なんですか？,ドラマ
 そのドラマのどういったところが好きなんですか？,ドラマ
 そうなんですね．新しい知識が増えました！ありがとうございます！,ドラマ
 あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,ドラマ
 それはどんな内容なんですか？,ドラマ
 なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,ドラマ
 そうですか。ありがとうございます。一度、独自で調べてみますね・・,ドラマ
 そうですよね。けっこう楽しめましたよね・・,ドラマ
 そうなんですか．ではほかのドラマについても一度調べてみますね！,ドラマ
 それでは少し「スポーツ」について話しましょう！,スポーツ
 最近スポーツはしましたか？,スポーツ
 スポーツはよくするんですか？,スポーツ
 好きなスポーツはなんですか？,スポーツ
 どんなスポーツをされましたか？,スポーツ
 スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ
 するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,スポーツ
 スポーツをする目的は何ですか？,スポーツ
 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
 なるほど、健康的で、ステキですね・・,スポーツ
 これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,スポーツ
 そのほか健康のために、気をつけていることはありますか？,スポーツ
 ありがとうございます。参考にさせていただきます。,スポーツ
 なにかおすすめのスポーツ観戦はありますか？,スポーツ
 見るのが好きなんですね．最近はどこで見たんですか？,スポーツ
 そのスポーツのおすすめポイントを教えてください＾＾,スポーツ
 なるほど、面白そうですね！,スポーツ
 なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ
 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ
 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,スポーツ
 オリンピックは今までに見たことはありますか？,スポーツ
 競技はなにをご覧になりますか？,スポーツ
 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ
 そうですか。テレビでの観戦はなされるんですか？,スポーツ
 そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ
 そうですか。それは残念です・・,スポーツ
 いいですね。テレビ観戦も楽しそうですね！,スポーツ
 さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,エスエヌエス
 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,エスエヌエス
 「エスエヌエス」を利用して、何か面白かったことはありますか・・,エスエヌエス
 具体的になんのために利用していますか？,エスエヌエス
 なるほど、そういうふうに利用されているのですね。,エスエヌエス
 おすすめの便利なきのうとかはありますか？,エスエヌエス
 もう少し具体的に教えてください・・,エスエヌエス
 それはなんですか？,エスエヌエス
 これは「おすすめ」というものはありますか？,エスエヌエス
 「エスエヌエス」を利用していてハプニングにあったことはありますか？,エスエヌエス
 たいへんでしたね。,エスエヌエス
 ほかにたいへんだったことはありますか・・,エスエヌエス
 いいですね．使ってみると面白そうですね！,エスエヌエス
 そうなんですか．私も独自に調べてみますね．,エスエヌエス
 ショッピングで「アマゾン」などはよく利用しますか？,エスエヌエス
 使い心地はどうですか？,エスエヌエス
 いいですね，私も使ってみたいです！,エスエヌエス
 そうですか，いいものが見つかるといいですね．,エスエヌエス
 具体的にどういったものを買いますか？,エスエヌエス
 具体的に教えてください。,エスエヌエス
 それでは少し「学校」について話しましょう！,学校
 学生時代で、楽しかったエピソードを教えてください・・,学校
 学生時代、一番楽しかった学年はありますか？,学校
 学生時代、たいへんだった体験はありますか？,学校
 その時、どんなことをしたのですか？,学校
 今までの体験の中で、そのほか、楽しかったことはありますか？,学校
 ほかには、ありますか？,学校
 運動会や、学芸会などのイベントで面白かった体験はありますか？,学校
 ほかにハプニングなどはありましたか？,学校
 ほかにエピソードはありますか？,学校
 最近、学校にはいきましたか？,学校
 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校
 それはたいへんでしたね。,学校
 それはご活躍されたんですね・・,学校
 それは楽しい時間でしたね！,学校
 それは面白い体験ですね！,学校
 面白かったんですね！,学校
 貴重な体験をされましたね・・,学校
 ほかにたいへんだったことはありますか？,学校
 すごい！,学校
 貴重な体験談をありがとうございました・・,学校
 それでは「旅行」について話しましょう,旅行
 さいきん旅行には行きましたか？,旅行
 旅行にはよく行かれますか？,旅行
 旅行はどこに行ったことがありますか？,旅行
 今までいった「旅行」で特におすすめの場所はありますか？,旅行
 その旅先で何かハプニングはありましたか!,旅行
 その旅先で何が一番楽しかったですか？,旅行
 その旅先で美味しい食べ物はたべましたか・・,旅行
 具体的には教えてもらえますか？,旅行
 すごい！面白い体験をされましたね!,旅行
 それは、たいへんでしたね!,旅行
 それは、美味しそうですね。,旅行
 ほかには何か面白いことはありましたか？,旅行
 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行
 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,旅行
 サッカーが好きなひとでしたら「バルサの本拠地」、カンプノウがあって、とても楽しいところだそうです。,旅行
 旅行に行くときはなにか目的はありますか？,旅行
 「温泉」などリフレッシュするためにいきますか？,旅行
 たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,旅行
 なるほど、それは素晴らしい経験ですね。,旅行
 なるほど、それはリラックスできますね。,旅行
 なるほど、それは面白そうですね。,旅行
 貴重な体験談をありがとうございました。,旅行
 それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？,最後の質問
 ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？,最後の質問
 なるほど、ありがとうございました。,最後の質問
 これで対話を終了します．ご協力ありがとうございました・・,最後の質問
