theme,freq,agent_utterance,utte_len
default,7, なるほど、よくご存じですね・・,16
ゲーム,5, ゲームはよくする方なんですか？,16
default,13, 具体的には教えてもらえますか？,16
休日,1, 何をして遊ぶことが多いですか？,16
音楽,3, カラオケで歌ったりするのですか？,17
本,1, それはどんな「内容」なんですか？,17
ゲーム,1, それはなんていう作品なんですか？,17
ドラマ,2, そういった番組も面白いですよね。,17
default,3, いいですね，とても興味深いです！,17
アニメ・漫画,1, 最近アニメや漫画をよく見ますか？,17
default,19, 具体的にはどういったものですか？,17
アニメ・漫画,1, おすすめのアニメってありますか？,17
default,7, なるほど、それは面白そうですね。,17
食事,12, それは「最近」食べられたんですか？,18
休日,2, お子さんとはよく公園で遊びますか？,18
本,1, 一番好きなシーンなどはありますか？,18
食事,9, お友達とランチに行ったりしますか？,18
旅行,5, すごい！面白い体験をされましたね!,18
学校,14, その時、どんなことをしたのですか？,18
エスエヌエス,2, いいですね，私も使ってみたいです！,18
default,20, 具体的に教えてもらっていいですか？,18
ドラマ,9, そのドラマはどんな内容なんですか？,18
default,3, どういったところが好きなんですか？,18
食事,1, 具体的にどういう味か教えてください。,19
音楽,9, カラオケでよくなにをうたうのですか？,19
映画,10, それは一体どういった内容なんですか？,19
アニメ・漫画,10, それは一体どういった内容なんですか？,19
ゲーム,5, 最近ハマっているゲームはありますか？,19
食事,11, なるほど、それは美味しそうですね・・,19
旅行,10, 旅行はどこに行ったことがありますか？,19
エスエヌエス,17, 具体的にどういったものを買いますか？,19
旅行,23, その旅先で何が一番楽しかったですか？,19
スポーツ,10, なるほど、健康的で、ステキですね・・,19
音楽,3, おすすめの歌手やきょくってありますか？,20
映画,4, では，もう一度見たい映画はありますか？,20
学校,3, ほかにたいへんだったことはありますか？,20
旅行,20, 貴重な体験談をありがとうございました。,20
エスエヌエス,15, 具体的になんのために利用していますか？,20
食事,8, そうですか、とても美味しそうですね・・,20
旅行,7, なるほど、それはリラックスできますね。,20
旅行,10, なるほど、それは素晴らしい経験ですね。,20
旅行,16, ほかには何か面白いことはありましたか？,20
default,6, そのほかにおすすめのものはありますか？,20
default,5, それのどういったところが好きなんですか？,21
エスエヌエス,1, いいですね．使ってみると面白そうですね！,21
旅行,5, その旅先で何かハプニングはありましたか!,21
学校,9, 貴重な体験談をありがとうございました・・,21
エスエヌエス,13, おすすめの便利なきのうとかはありますか？,21
旅行,11, 旅行に行くときはなにか目的はありますか？,21
スポーツ,9, いいですね。テレビ観戦も楽しそうですね！,21
映画,3, では，最近どんな映画を見られたんですか？,21
音楽,4, カラオケに行くときはお友達と行きますか？,21
エスエヌエス,1, ほかにたいへんだったことはありますか・・,21
旅行,22, その旅先で美味しい食べ物はたべましたか・・,22
本,1, そうなんですか，その作品はおすすめですか？,22
スポーツ,5, なにかおすすめのスポーツ観戦はありますか？,22
ゲーム,4, そのゲームのどんなところが好きなんですか？,22
学校,9, 学生時代、一番楽しかった学年はありますか？,22
ドラマ,4, 健康番組、とかトーク番組とか見られますか？,22
default,31, もう少し詳しく教えていただいていいですか。,22
映画,1, そうですか，では一度独自で調べてみますね！,22
映画,1, なるほど，では私もチェックしておきますね！,22
本,3, その本のどういったところが好きなんですか？,22
エスエヌエス,3, これは「おすすめ」というものはありますか？,22
学校,5, 学生時代、たいへんだった体験はありますか？,22
音楽,10, その歌手のどういうところが好きなんですか？,22
default,1, そうなんですか．私も独自に調べてみますね．,22
エスエヌエス,10, そうですか，いいものが見つかるといいですね．,23
音楽,3, わたしも実際に、演奏をきいてみたいものです。,23
音楽,7, そのきょくのどういうところが好きなんですか？,23
食事,30, 甘いものと、からいものどちらがお好きですか？,23
音楽,1, その作曲者のどういうところが好きなんですか？,23
食事,23, なるほど、普段はどこでスイーツを買いますか？,23
スポーツ,15, オリンピックは今までに見たことはありますか？,23
default,8, そうですね・・ぜひ参考にさせていただきます。,23
本,1, その作者のどういったところが好きなんですか？,23
スポーツ,4, そうですか。テレビでの観戦はなされるんですか？,24
旅行,15, 「温泉」などリフレッシュするためにいきますか？,24
ゲーム,2, 携帯ゲームかテレビゲームならどちらをしますか？,24
ゲーム,1, 好きなゲームやおすすめのゲームってありますか？,24
休日,2, お子さんと遊ぶのは体力が必要で、大変ですよね。,24
食事,15, からい食べものとはどんな食べものが好きですか？,24
ゲーム,4, いつもはどんなジャンルのゲームをするんですか？,24
ドラマ,5, そのドラマのどういったところが好きなんですか？,24
休日,12, そとで過ごすときはスポーツをしたりしますか・・,24
食事,7, どんなところに行きますか？和食ですか洋食ですか？,25
エスエヌエス,19, なるほど、そういうふうに利用されているのですね。,25
映画,4, 映画では洋画，邦画，それ以外のどれが好きですか？,25
default,6, ありがとうございます。参考にさせていただきます。,25
食事,2, そうですか。最近はまっている食べ物はありますか・・,26
エスエヌエス,21, ショッピングで「アマゾン」などはよく利用しますか？,26
スポーツ,1, 見るのが好きなんですね．最近はどこで見たんですか？,26
スポーツ,2, そのスポーツのおすすめポイントを教えてください＾＾,26
映画,5, 洋画が好きなんですか，おすすめの洋画ってありますか？,27
映画,4, なるほど、それは面白そうですね！私も観てみたいです！,27
映画,4, 「映画館」か「テレビ」かどちらでよく映画をみますか？,27
音楽,2, すごいですね。一度聞かせていただけるとうれしいです。,27
映画,3, 邦画が好きなんですか，おすすめの邦画ってありますか？,27
学校,8, 学生時代で、楽しかったエピソードを教えてください・・,27
食事,20, なるほど、その中でもおすすめのスイーツはありますか？,27
アニメ・漫画,2, 見たことのあるものの中で一番好きなものはなんですか？,27
休日,3, 一度ネットワークにつなぐと、あとはラクなようですよ。,27
スポーツ,16, 健康のため、とか、リフレッシュするため、とかですか？,27
スポーツ,3, そうですか。そのスポーツはテレビで鑑賞はされますか・・,28
スポーツ,16, そのほか健康のために、気をつけていることはありますか？,28
旅行,23, 今までいった「旅行」で特におすすめの場所はありますか？,28
アニメ・漫画,1, 楽しそうですね。今度知りあいにすすめてみたいと思います！,29
休日,1, いぬがたのロボットで、とてもかわいがる人もいるようです。,29
音楽,4, なまで演奏をきくと、迫力があって、感動するみたいですね！,29
食事,2, おばあちゃんがよく家で出してくれていたと言っていました。,29
学校,8, 今までの体験の中で、そのほか、楽しかったことはありますか？,30
スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？,30
default,3, そうなんですか．それでは一度独自で調べてみたいと思います．,30
音楽,6, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,31
音楽,8, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,31
休日,29, 休日は家で過ごすほうが多いですか？外出することが多いですか？,31
学校,7, 運動会や、学芸会などのイベントで面白かった体験はありますか？,31
休日,4, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,32
スポーツ,9, スポーツはするほうが好きですか？それとも見るほうが好きですか？,32
スポーツ,2, なるほど、面白そうですね，機会があればわたしも見てみたいです！,32
default,1, そうなんですね．新しい知識が増えました！ありがとうございます！,32
休日,2, 人工知能を搭載した、アイボのようなロボットに興味はありますか？,32
エスエヌエス,8, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,32
ドラマ,1, では，おすすめのドラマは何ですか？よろしければ教えてください。,32
本,3, よく読むんですか。いいですね。おすすめの作者や本はありますか？,32
本,1, なるほど、それは面白そうですね。今度知りあいにすすめてみます。,32
エスエヌエス,1, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,32
スポーツ,4, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,33
映画,1, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,33
休日,10, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,33
default,2, そのほかで、おすすめのものはありますか？あったら教えてください．,33
エスエヌエス,15, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,34
スポーツ,3, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,35
音楽,2, クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？,35
映画,1, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,35
食事,4, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,35
音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,35
ゲーム,3, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,36
食事,8, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,36
本,2, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,37
音楽,2, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,37
スポーツ,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,37
休日,1, 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,37
ドラマ,2, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,38
default,4, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,38
休日,1, 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。,39
旅行,4, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,39
休日,7, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,40
本,3, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,40
旅行,5, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,40
default,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,42
休日,3, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。,42
食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,43
食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,44
学校,6, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,45
休日,26, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,45
ゲーム,6, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,45
休日,2, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,48
ゲーム,6, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,48
食事,8, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,50
エスエヌエス,25, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,52
映画,4, 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・,52
スポーツ,19, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,54
食事,10, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,60
ゲーム,5, 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	,70
音楽,8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,90
旅行,4, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,97
